Time,F_out,F_in
19:36:23,0.196666667,1.034615104
19:36:24,0.200581197,1.02432324
19:36:25,0.201333333,1.017967895
19:36:26,0.206547009,1.025060197
19:36:27,0.209435897,1.023586282
19:36:28,0.215897436,1.028890916
19:36:29,0.217435897,1.034242977
19:36:30,0.221367521,1.023217804
19:36:31,0.226205128,1.022116016
19:36:32,0.227470085,1.02815031
19:36:33,0.233931624,1.03387085
19:36:34,0.235213675,1.018701204
19:36:35,0.246991453,1.025187888
19:36:36,0.249059829,1.016501277
19:36:37,0.251623932,1.032754469
19:36:38,0.256940171,1.027778183
19:36:39,0.254854701,1.022116016
19:36:40,0.255760684,1.019802992
19:36:41,0.259111111,1.020642101
19:36:42,0.262222222,1.020642101
19:36:43,0.265880342,1.022116016
19:36:44,0.263145299,1.021747537
19:36:45,0.265008547,1.022480846
19:36:46,0.268735043,1.022849325
19:36:47,0.273435897,1.026669099
19:36:48,0.273641026,1.033498723
19:36:49,0.277948718,1.022116016
19:36:50,0.280512821,1.018701204
19:36:51,0.27834188,1.021747537
19:36:52,0.27834188,1.018701204
19:36:53,0.27834188,1.027778183
19:36:54,0.27782906,1.032385991
19:36:54,0.278803419,1.018336374
19:36:55,0.27834188,1.023954761
19:36:56,0.280512821,1.017603065
19:36:57,0.283418803,1.022849325
19:36:58,0.289059829,1.023586282
19:36:59,0.292461538,1.019069683
19:37:00,0.300290598,1.019434513
19:37:01,0.307264957,1.023954761
19:37:02,0.315384615,1.013133893
19:37:03,0.323418803,1.018336374
19:37:04,0.327179487,1.019069683
19:37:05,0.332820513,1.019434513
19:37:06,0.334991453,1.013133893
19:37:07,0.334940171,1.013498723
19:37:08,0.34017094,1.013498723
19:37:09,0.341025641,1.014228384
19:37:10,0.344786325,1.018701204
19:37:11,0.347863248,1.009795695
19:37:12,0.34974359,1.014228384
19:37:13,0.349282051,1.023586282
19:37:14,0.349230769,1.016869756
19:37:15,0.353965812,1.005045604
19:37:16,0.349965812,1.014228384
19:37:17,0.354871795,1.014593214
19:37:18,0.357282051,1.009069683
19:37:19,0.362051282,1.019069683
19:37:20,0.367863248,1.019069683
19:37:21,0.368290598,1.013498723
19:37:22,0.376239316,1.009069683
19:37:23,0.378034188,1.004684422
19:37:24,0.388136752,1.007256476
19:37:25,0.387555556,1.003239694
19:37:26,0.398820513,1.00834367
19:37:27,0.405042735,1.013498723
19:37:28,0.404905983,1.003962058
19:37:29,0.410188034,1.012769062
19:37:30,0.414615385,1.013863553
19:37:31,0.417401709,1.008708501
19:37:32,0.425846154,1.009069683
19:37:33,0.429760684,1.003962058
19:37:34,0.434854701,1.008708501
19:37:35,0.440136752,1.009434513
19:37:36,0.442974359,1.013498723
19:37:37,0.45025641,1.013863553
19:37:38,0.45008547,1.013863553
19:37:39,0.459316239,1.009069683
19:37:39,0.46425641,1.005406786
19:37:40,0.461589744,1.007982488
19:37:41,0.467863248,1.008708501
19:37:42,0.47042735,1.003962058
19:37:43,0.472991453,1.008708501
19:37:44,0.47765812,1.003239694
19:37:45,0.477606838,1.005045604
19:37:46,0.477555556,1.018336374
19:37:47,0.480615385,1.005406786
19:37:48,0.483179487,1.009069683
19:37:49,0.48974359,1.009795695
19:37:50,0.495863248,1.008708501
19:37:51,0.494068376,1.005406786
19:37:52,0.497299145,1.000339292
19:37:53,0.501709402,1.013498723
19:37:54,0.505299145,1.000339292
19:37:55,0.507880342,1.009795695
19:37:56,0.503931624,1.00432324
19:37:57,0.515487179,1.005045604
19:37:58,0.510905983,1.014593214
19:37:59,0.516068376,1.000696826
19:38:00,0.513794872,1.005045604
19:38:01,0.517948718,1.005406786
19:38:02,0.520512821,1.009795695
19:38:03,0.522222222,1.010160525
19:38:04,0.524786325,1.005045604
19:38:05,0.525196581,1.010521707
19:38:06,0.527401709,1.005045604
19:38:07,0.531794872,0.996034294
19:38:08,0.535213675,1.004684422
19:38:09,0.533555556,1.000696826
19:38:10,0.539145299,0.99997811
19:38:11,0.544957265,1.000696826
19:38:12,0.542700855,1.003962058
19:38:13,0.55042735,0.994958045
19:38:14,0.549179487,0.994600511
19:38:15,0.55191453,0.999620576
19:38:16,0.552410256,0.99997811
19:38:17,0.552188034,0.994958045
19:38:18,0.556,0.999259394
19:38:19,0.56034188,0.999259394
19:38:20,0.558632479,1.004684422
19:38:21,0.565008547,0.994958045
19:38:22,0.570615385,0.99997811
19:38:23,0.574529915,0.999620576
19:38:24,0.582564103,1.003962058
19:38:24,0.583897436,0.999259394
19:38:25,0.586444444,0.999259394
19:38:26,0.594188034,1.00432324
19:38:27,0.600461538,1.003962058
19:38:28,0.594188034,0.998179497
19:38:29,0.600222222,0.998898212
19:38:30,0.606153846,0.998540679
19:38:31,0.612649573,1.005406786
19:38:32,0.613162393,0.998540679
19:38:33,0.614512821,1.008708501
19:38:34,0.622222222,1.00834367
19:38:35,0.626153846,0.998540679
19:38:36,0.630769231,0.998898212
19:38:37,0.632547009,0.994242977
19:38:38,0.638290598,0.998898212
19:38:39,0.636803419,0.998898212
19:38:40,0.636854701,0.994242977
19:38:41,0.64157265,0.984706312
19:38:42,0.643777778,1.002878511
19:38:43,0.648376068,0.984348778
19:38:44,0.644991453,0.993885443
19:38:45,0.651777778,0.993170376
19:38:46,0.663145299,0.993170376
19:38:47,0.664957265,0.998540679
19:38:48,0.664119658,0.989631521
19:38:49,0.675213675,0.994242977
19:38:50,0.679316239,0.998179497
19:38:51,0.679846154,0.997821963
19:38:52,0.686153846,0.998540679
19:38:53,0.688205128,0.997821963
19:38:54,0.687675214,0.998540679
19:38:55,0.696478632,0.998540679
19:38:56,0.697333333,0.992812842
19:38:57,0.689350427,0.999259394
19:38:58,0.703948718,1.002878511
19:38:59,0.691384615,1.002513681
19:39:00,0.693794872,1.002878511
19:39:01,0.692769231,0.992812842
19:39:02,0.691418803,0.993170376
19:39:03,0.690393162,1.00834367
19:39:04,0.686974359,0.988916454
19:39:05,0.686461538,0.998179497
19:39:06,0.686974359,0.998179497
19:39:07,0.697846154,0.994242977
19:39:08,0.697846154,0.997460781
19:39:08,0.688666667,1.002878511
19:39:09,0.695042735,0.998179497
19:39:10,0.690905983,0.996742065
19:39:11,0.690393162,1.003962058
19:39:12,0.688358974,0.998540679
19:39:13,0.687333333,0.998179497
19:39:14,0.688547009,0.997460781
19:39:15,0.682068376,0.992812842
19:39:16,0.685623932,0.997821963
19:39:17,0.685794872,0.997099599
19:39:18,0.686136752,0.998898212
19:39:19,0.694581197,0.999620576
19:39:20,0.691965812,0.997460781
19:39:21,0.689538462,0.993170376
19:39:22,0.692102564,0.99352791
19:39:23,0.695726496,0.998179497
19:39:24,0.696068376,0.998179497
19:39:25,0.692769231,0.992812842
19:39:26,0.689863248,0.994242977
19:39:27,0.691726496,0.993885443
19:39:28,0.695333333,0.998898212
19:39:29,0.696358974,0.994600511
19:39:30,0.701538462,0.99997811
