Time,Conductivity_in,Conductivity_out
16:25:48,2778.8,954.53
16:25:49,2758.79,942.79
16:25:50,2748.83,934.25
16:25:51,2749.81,930.74
16:25:52,2774.82,919.6
16:25:53,2749.81,915.45
16:25:54,2786,886.95
16:25:55,2749.81,877.4
16:25:56,2765.73,865.96
16:25:57,2762.75,869.84
16:25:58,2772.83,875.82
16:25:59,2767.71,887.26
16:26:00,2788,897.74
16:26:01,2782.78,927.98
16:26:02,2766.72,951.05
16:26:03,2794,968.9
16:26:04,2789,960.65
16:26:05,2757.8,948.47
16:26:06,2757.8,954.14
16:26:07,2772.83,939.02
16:26:08,2764.73,931.35
16:26:09,2778.8,916.49
16:26:10,2763.74,925.02
16:26:11,2760.77,931.82
16:26:12,2750.8,943.16
16:26:13,2749.81,954.99
16:26:14,2747.84,977.61
16:26:15,2778.8,992.57
16:26:16,2789,998.04
16:26:17,2766.72,1010.6
16:26:18,2779.8,1014.54
16:26:19,2763.74,1010.6
16:26:20,2759.78,1005.67
16:26:21,2781.79,999.5
16:26:22,2786,985.83
16:26:23,2790,975.67
16:26:24,2759.78,953.22
16:26:25,2779.8,938.23
16:26:26,2776.81,932.24
16:26:27,2750.8,911.26
16:26:28,2772.83,914.86
16:26:29,2765.73,921.15
16:26:30,2745.87,921.57
16:26:30,2777.81,932.44
16:26:31,2761.76,932.88
16:26:32,2763.74,960.44
16:26:33,2764.73,967.02
16:26:34,2763.74,976.64
16:26:35,2783,992.85
16:26:36,2763.74,1011.2
16:26:37,2764.73,1003.7
16:26:38,2790,1004.68
16:26:39,2767.85,1008.42
16:26:40,2757.8,1026.88
16:26:41,2764.73,1017.34
16:26:42,2743.9,1016.51
16:26:43,2763.74,1027.36
16:26:44,2766.86,1040.18
16:26:45,2777.81,1062.95
16:26:46,2776.81,1069.84
16:26:47,2789,1070.74
16:26:48,2782,1072.62
16:26:49,2763.74,1077.53
16:26:50,2757.8,1090.64
16:26:51,2761.76,1085.53
16:26:52,2733.07,1087.67
16:26:53,2760.77,1078.63
16:26:54,2799.3,1073.7
16:26:55,2763.74,1061.83
16:26:56,2772.83,1067.86
16:26:57,2776.81,1060.88
16:26:58,2758.79,1052.99
16:26:59,2787,1064.94
16:27:00,2759.78,1048.07
16:27:01,2777.81,1034.35
16:27:02,2759.78,1038.07
16:27:03,2761.76,1014.54
16:27:04,2759.78,1000.74
16:27:05,2747.84,999.8
16:27:06,2776.81,973.85
16:27:07,2748.83,956.86
16:27:08,2787,951.96
16:27:09,2787,941.61
16:27:10,2763.74,941.15
16:27:11,2749.81,952.72
16:27:12,2788,959.68
16:27:13,2757.8,959.82
16:27:14,2759.78,967.42
16:27:15,2776.81,980.57
16:27:15,2777.81,989.89
16:27:16,2790,995.54
16:27:17,2775.81,988.31
16:27:18,2775.81,972.74
16:27:19,2747.84,961.47
16:27:20,2784,947.6
16:27:21,2749.81,938.23
16:27:22,2775.81,936.26
16:27:23,2786,932.78
16:27:24,2760.77,949.68
16:27:25,2761.76,951.44
16:27:26,2787,964.16
16:27:27,2771.83,981.41
16:27:28,2759.78,998.77
16:27:29,2764.73,1020.15
16:27:30,2752.77,1026.25
16:27:31,2771.83,1037.07
16:27:32,2762.75,1041.16
16:27:33,2774.82,1052.99
16:27:34,2756.81,1057.9
16:27:35,2759.78,1071.73
16:27:36,2770.84,1075.67
16:27:37,2790,1076.66
16:27:38,2772.83,1075.67
16:27:39,2760.77,1073.7
16:27:40,2810.7,1076.66
16:27:41,2758.79,1075.67
16:27:42,2742.91,1084.7
16:27:43,2761.76,1077.53
16:27:44,2760.77,1077.53
16:27:45,2762.75,1091.81
16:27:46,2773.82,1077.64
16:27:47,2745.87,1073.8
16:27:48,2771.83,1057.9
16:27:49,2773.82,1065.94
16:27:50,2773.82,1046.09
16:27:51,2755.82,1029.44
16:27:52,2782,1025.39
16:27:53,2765.73,1014.54
16:27:54,2752.77,1016.17
16:27:55,2765.73,1006.44
16:27:56,2776.81,1000.74
16:27:57,2758.79,1005.45
16:27:58,2793.27,1017.34
16:27:59,2790,1032.1
16:28:00,2764.73,1041.05
